new,temp,humi,movement,vacc,naver
0,5.8,71.8,4241286,0.0,82.4784
0,3.4,55.3,4927361,0.0,105.90724999999999
0,4.8,57.0,4995550,0.0,95.68114
0,2.2,53.4,5000756,0.0,97.23238
0,1.4,47.5,5066442,0.0,89.19865999999999
0,3.7,46.8,5280464,0.0,81.44081
0,7.0,39.5,4956528,0.0,65.20044
0,9.3,43.8,4528347,0.0,59.77925
0,11.1,37.6,5191153,0.0,69.57105
0,6.4,78.4,5065999,0.0,70.16503999999999
0,3.8,41.8,5239592,0.0,49.9347
0,6.8,49.8,5239157,0.0,45.5572
0,4.9,41.0,5389107,0.0,44.68255
0,3.6,48.1,5085631,0.0,35.80271
0,4.0,48.3,4560008,0.0,52.984280000000005
0,3.6,42.4,5255600,0.0,61.70491
0,6.6,65.8,5289945,0.0,59.87904
0,10.0,45.8,5402900,0.0,49.7896
0,9.1,49.0,5245723,0.0,50.821220000000004
0,8.8,39.6,5592326,0.0,50.71316
0,12.8,56.5,5258392,0.0,44.34578
0,11.0,37.5,4747731,0.0,40.74696
0,10.6,37.9,5383891,0.0,48.935950000000005
0,11.4,35.0,5441879,0.0,45.68495
0,12.5,33.6,5563600,0.0,46.099520000000005
0,14.8,53.8,5529099,0.0,45.25865
0,11.9,56.4,5721505,0.0,44.51886
0,7.7,17.9,5346369,0.0,21.896910000000002
0,8.7,30.6,4902848,0.0,37.403659999999995
0,10.2,38.4,5543778,0.0,42.65933
0,11.9,34.5,5634685,0.0,59.50983
0,11.3,35.6,5194338,0.0,37.592729999999996
0,9.3,41.4,5269422,0.0,40.30743
0,10.0,53.8,5432144,0.0,38.25507
0,8.9,36.4,5010250,0.0,33.62608
0,7.2,29.5,4559348,0.0,30.23001
0,9.3,38.3,5309405,0.0,40.07805
0,10.6,56.6,5382355,0.0,47.46219000000001
0,9.4,25.5,5426324,0.0,42.36532
0,8.9,44.6,5446661,0.0,34.07319
0,10.7,52.6,5643451,0.0,36.52708
0,9.9,63.8,5251615,0.0,34.361180000000004
0,9.9,58.6,4672845,0.0,37.216
0,12.4,39.4,5488489,0.0,42.08202
0,13.0,46.8,5672066,0.0,34.5289
0,13.2,39.8,5104471,0.0,27.066670000000002
0,16.0,39.9,5622145,0.0,38.7335
0,12.5,77.8,5656603,0.0,44.526469999999996
0,13.5,67.9,5450261,0.0,35.14374
0,12.3,75.8,4779704,0.0,34.91848
0,10.0,73.0,5609042,0.0,42.64271
0,7.4,49.0,5693453,0.0,41.0167
